committee_id,committee_name,Political Affiliation
C00000026,,UNK
C00000059,,UNK
C00000125,,R
C00000182,,D
C00000273,,UNK
C00000349,,R
C00000372,,UNK
C00000398,,R
C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,N
C00000497,,UNK
C00000505,,D
C00000539,,R
C00000547,,UNK
C00000620,,R
C00000646,,R
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,N
C00000737,,R
C00000760,,UNK
C00000794,,UNK
C00000810,,NNE
C00000828,,D
C00000885,,UNK
C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),R
C00000935,DCCC,D
C00000943,,NNE
C00000950,,UNK
C00000984,UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC),N
C00000992,,R
C00001016,,NNE
C00001081,,R
C00001099,,UNK
C00001123,,R
C00001164,,R
C00001180,MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY,N
C00001198,AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC'),N
C00001214,,NNE
C00001222,,R
C00001289,,UNK
C00001297,,R
C00001305,,R
C00001313,,R
C00001347,,UNK
C00001354,,UNK
C00001396,,D
C00001420,,UNK
C00001446,,UNK
C00001453,,R
C00001461,,NAT
C00001552,,NNE
C00001594,,UNK
C00001602,,UNK
C00001610,,UNK
C00001636,SMART TD PAC,D
C00001644,,D
C00001669,,UNK
C00001677,,R
C00001685,,UNK
C00001727,,UNK
C00001735,,R
C00001776,,UNK
C00001784,,NNE
C00001818,,UNK
C00001826,,D
C00001917,,D
C00002022,,UNK
C00002089,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,D
C00002097,,D
C00002113,,D
C00002154,,R
C00002162,,UNK
C00002196,,UNK
C00002204,,R
C00002220,,R
C00002238,NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC,N
C00002253,,UNK
C00002261,FEDERATION OF AMERICAN HOSPITALS PAC,N
C00002303,,UNK
C00002386,,D
C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,D
C00002501,,UNK
C00002527,,D
C00002568,,R
C00002576,,D
C00002592,,D
C00002600,,D
C00002618,,UNK
C00002709,,D
C00002741,,R
C00002766,,UNK
C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND,R
C00002816,,R
C00002840,UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),D
C00002857,,R
C00002881,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.,N
C00002907,,UNK
C00002931,,R
C00002949,,UNK
C00002972,THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE),N
C00003061,,UNK
C00003079,,R
C00003111,,R
C00003145,,R
C00003160,,UNK
C00003194,,UNK
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,D
C00003293,,UNK
C00003319,,UNK
C00003376,,R
C00003418,REPUBLICAN NATIONAL COMMITTEE,R
C00003467,,R
C00003558,NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS,D
C00003590,UNITED STEELWORKERS POLITICAL ACTION FUND,D
C00003624,,R
C00003632,,UNK
C00003681,,R
C00003756,,UNK
C00003764,NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC),R
C00003772,,UNK
C00003780,,D
C00003806,,UNK
C00003814,,D
C00003822,,R
C00003863,,UNK
C00003897,,D
C00003913,,UNK
C00003921,,UNK
C00003988,NEBRASKA DEMOCRATIC PARTY,D
C00003996,,R
C00004010,,UNK
C00004093,,UNK
C00004101,,UNK
C00004176,,UNK
C00004192,,UNK
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),R
C00004325,SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW,D
C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,R
C00004499,,UNK
C00004523,,D
C00004572,,D
C00004580,,UNK
C00004606,,R
C00004754,,R
C00004804,,UNK
C00004812,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),N
C00004820,,R
C00004846,,UNK
C00004879,,UNK
C00004911,,UNK
C00004929,,UNK
C00004952,,UNK
C00004960,,UNK
C00004978,,UNK
C00004994,PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC),R
C00005033,,R
C00005041,,R
C00005066,,UNK
C00005132,,UNK
C00005140,,D
C00005157,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,D
C00005173,,D
C00005215,,D
C00005223,,D
C00005249,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,N
C00005306,,UNK
C00005462,,R
C00005488,,UNK
C00005561,DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA,D
C00005629,,R
C00005645,,UNK
C00005660,,UNK
C00005736,,UNK
C00005751,,UNK
C00005785,"WYOMING REPUBLICAN PARTY, INC.",R
C00005801,,R
C00005819,,R
C00005884,,R
C00005892,,UNK
C00005926,ILLINOIS REPUBLICAN PARTY - FEDERAL,R
C00005934,,R
C00005975,,R
C00006049,,R
C00006122,,R
C00006148,,D
C00006262,,R
C00006296,,UNK
C00006320,,R
C00006338,,NNE
C00006486,,R
C00006569,,R
C00006601,,UNK
C00006759,,NNE
C00006783,,R
C00006882,,R
C00007070,TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC),N
C00007294,,UNK
C00007419,,UNK
C00007427,,UNK
