Rank,Company Name,Number of Employees
1,Walmart,2300000
2,Amazon,1298000
3,Apple,147000
4,CVS Health,256500
5,UnitedHealth Group,330000
6,Berkshire Hathaway,360000
7,McKesson,70000
8,AmerisourceBergen,21500
9,Alphabet,135301
10,Exxon Mobil,72000
11,AT&T,230760
12,Costco Wholesale,214500
13,Cigna,72963
14,Cardinal Health,48000
15,Microsoft,163000
16,Walgreens Boots Alliance,277000
17,Kroger,465000
18,Home Depot,504800
19,JPMorgan Chase,255351
20,Verizon Communications,132200
21,Ford Motor,186000
22,General Motors,155000
23,Anthem,83400
24,Centene,71300
25,Fannie Mae,7700
26,Comcast,168000
27,Chevron,47736
28,Dell Technologies,158000
29,Bank of America,212505
30,Target,409000
31,Lowe's,280000
32,Marathon Petroleum,57900
33,Citigroup,210153
34,Facebook,58604
35,UPS,408255
36,Johnson & Johnson,134500
37,Wells Fargo,268531
38,General Electric,184000
39,State Farm Insurance,57582
40,Intel,110600
41,Humana,48700
42,IBM,364800
43,Procter & Gamble,99000
44,PepsiCo,291000
45,FedEx,418000
46,MetLife,46500
47,Freddie Mac,6922
48,Phillips 66,14300
49,Lockheed Martin,114000
50,Walt Disney,203000
51,Archer Daniels Midland,38332
52,Albertsons,270000
53,Valero Energy,9964
54,Boeing,141000
55,Prudential Financial,41671
56,HP,53000
57,Raytheon Technologies,181000
58,StoneX Group,2950
59,Goldman Sachs Group,40500
60,Sysco,57000
61,Morgan Stanley,68097
62,HCA Healthcare,235000
63,Cisco Systems,77500
64,Charter Communications,96100
65,Merck,73500
66,Best Buy,81600
67,New York Life Insurance,11506
68,AbbVie,47000
69,Publix Super Markets,227000
70,Allstate,42010
71,Liberty Mutual Insurance Group,45000
72,AIG,45000
73,Tyson Foods,139000
74,Progressive,43326
75,Bristol-Myers Squibb,30250
76,Nationwide,25391
77,Pfizer,78500
78,Caterpillar,97300
79,TIAA,14953
80,Oracle,135000
81,Energy Transfer,11421
82,Dow,35700
83,American Express,63700
84,General Dynamics,100700
85,Nike,75400
86,Northrop Grumman,97000
87,USAA,35935
88,Deere,69634
89,Abbott Laboratories,109000
90,Northwestern Mutual,6641
91,Dollar General,158000
92,Exelon,32340
93,Coca-Cola,80300
94,Honeywell International,103000
95,Thermo Fisher Scientific,84362
96,3M,94987
97,TJX,320000
98,Travelers,30294
99,Capital One Financial,51985
100,Tesla,70757
101,Philip Morris International,71000
102,Arrow Electronics,19600
103,CHS,10493
104,Jabil,240000
105,Enterprise Products Partners,7130
106,Hewlett Packard Enterprise,59400
107,United Natural Foods,28300
108,Mondelez International,79000
109,ViacomCBS,24225
110,Kraft Heinz,38000
111,Dollar Tree,129772
112,Amgen,24300
113,U.S. Bancorp,68108
114,Performance Food Group,20000
115,Netflix,9400
116,Gilead Sciences,13600
117,Synnex,277900
118,Eli Lilly,35000
119,Truist Financial,53638
120,PNC Financial Services Group,50403
121,Broadcom,21000
122,CBRE Group,100000
123,Massachusetts Mutual Life Insurance,9974
124,Qualcomm,41000
125,Starbucks,349000
126,Duke Energy,27535
127,Plains GP Holdings,4400
128,US Foods Holding,26000
129,Lennar,9495
130,Danaher,69000
131,Aflac,12003
132,Rite Aid,39920
133,Visa,20500
134,PayPal Holdings,26500
135,Micron Technology,40000
136,CarMax,27050
137,Salesforce,56606
138,Altria Group,7100
139,Lumen Technologies,39000
140,Baker Hughes,55000
141,International Paper,49300
142,Hartford Financial Services Group,18500
143,Penske Automotive Group,23600
144,DuPont,34000
145,AutoNation,21600
146,Southern,27700
147,World Fuel Services,4300
148,D.R. Horton,9716
149,Nucor,26400
150,Cummins,57825
151,NGL Energy Partners,1400
152,DXC Technology,138000
