Company,Board,Exec,Employer,Fname,MI,Lname,source_file
Alphabet Inc,Y,Y,Alphabet Inc,Larry,,Page,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,Y,Alphabet Inc,Sergey,,Brin,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,Y,Alphabet Inc,Sundar,,Pichai,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,Former President of Stamford University,John,L.,Hennessy†,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,"Linus Pauling Professor of Chemical Engineering, Bioengineering and Biochemistry at California Institute of Technology",Frances,H.,Arnold,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,General Partner and Chairman of Kleiner Perkins,L.,John,Doerr,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,President and Chief Executive Officer of TIAA(1),Roger,W.,Ferguson,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,Former Executive Vice President and Chief Financial Officer of Pixar,Ann,,Mather,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,Former Chief Executive Officer and President of Ford Motor Company,Alan,R.,Mulally,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,Managing Partner of Sherpalo Ventures,K.,Ram,Shriram,Alphabet_GoogleBOD.xlsx
Alphabet Inc,Y,N,Former Executive Vice President and Chief Financial Officer of Gilead Sciences,Robin,L.,Washington,Alphabet_GoogleBOD.xlsx
Amazon,Y,Y,Amazon,Jeffrey,P,Bezos,AmazonBOD.xlsx
Amazon,Y,Y,Amazon,Keith,B,Alexander,AmazonBOD.xlsx
Amazon,Y,N,Wilmer Cutler Pickering,Jamie,S,Gorelick,AmazonBOD.xlsx
Amazon,Y,N,MIT,Daniel,P,Huttenlocher,AmazonBOD.xlsx
Amazon,Y,N,MTV,Judith,A,McGrath,AmazonBOD.xlsx
Amazon,Y,N,Pepsico,Indra,K,Nooyi,AmazonBOD.xlsx
Amazon,Y,N,.,Jonathan,J,Rubinstein,AmazonBOD.xlsx
Amazon,Y,N,.,Thomas,O,Ryder,AmazonBOD.xlsx
Amazon,Y,N,.,Patricia,Q,Stonesifer,AmazonBOD.xlsx
Amazon,Y,N,,Wendell,P,Weeks,AmazonBOD.xlsx
Amazon,N,Y,Amazon,Brian,T,Olsavsky,AmazonBOD.xlsx
Amazon,Y,Y,Amazon,David,H,Clark,AmazonBOD.xlsx
Amazon,Y,Y,Amazon,Andrew,R,Jassy,AmazonBOD.xlsx
Amazon,Y,Y,Amazon,David,A,Zapolsky,AmazonBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Steven,H,Collis,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Retired,Jane,E,Henney,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Walgreens Boots Alliance ,Ornella,,Barra,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Retired,D,Mark,Durcan,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Retired,Richard,W,Gochnauer,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Retired,Lon ,R,Greenberg,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Constellation Energy Resources,Kathleen,W,Hyle,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Arrow Electronics,Michael,J,Long,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Harvard Business School,Henry,W,McGee,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,N,Retired,Dennis,M,Nally,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Robert,P,Mauch,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,James ,F,Cleary,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,John,G,Chou,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Gina,K,Clark,AmerisourceBergenBOD.xlsx
AmeriasourceBergen,Y,Y,AmeriasourceBergen,Silvana,,Battaglia,AmerisourceBergenBOD.xlsx
